Invoice,StockCode,Description,Quantity,InvoiceDate,Price,Customer ID,Country,Revenue,Year,Month,YearMonth,DayOfWeek,Hour
537138,84406B,CREAM CUPID HEARTS COAT HANGER,4,2010-01-04 09:55:00,2.79,12616,United Kingdom,11.16,2010,1,2010-01,0,9
536780,22386,JUMBO BAG PINK POLKADOT,2,2010-01-04 10:08:00,1.96,12595,Belgium,3.92,2010,1,2010-01,0,10
536780,22623,BOX OF VINTAGE JIGSAW BLOCKS,2,2010-01-04 10:08:00,4.93,12595,Belgium,9.86,2010,1,2010-01,0,10
536780,48187,DOORMAT NEW ENGLAND,1,2010-01-04 10:08:00,8.7,12595,Belgium,8.7,2010,1,2010-01,0,10
536780,85123A,WHITE HANGING HEART T-LIGHT HOLDER,2,2010-01-04 10:08:00,2.64,12595,Belgium,5.28,2010,1,2010-01,0,10
537356,23167,SMALL CERAMIC TOP STORAGE JAR,1,2010-01-04 12:24:00,0.82,12450,United Kingdom,0.82,2010,1,2010-01,0,12
537356,23298,SPOTTY BUNTING,1,2010-01-04 12:24:00,5.03,12450,United Kingdom,5.03,2010,1,2010-01,0,12
537356,22623,BOX OF VINTAGE JIGSAW BLOCKS,7,2010-01-04 12:24:00,5.17,12450,United Kingdom,36.19,2010,1,2010-01,0,12
537356,23084,RABBIT NIGHT LIGHT,1,2010-01-04 12:24:00,1.7,12450,United Kingdom,1.7,2010,1,2010-01,0,12
536732,22423,REGENCY CAKESTAND 3 TIER,4,2010-01-04 19:18:00,11.87,12480,United Kingdom,47.48,2010,1,2010-01,0,19
536732,22383,LUNCH BAG SUKI DESIGN,9,2010-01-04 19:18:00,1.68,12480,United Kingdom,15.12,2010,1,2010-01,0,19
536732,48187,DOORMAT NEW ENGLAND,1,2010-01-04 19:18:00,8.58,12480,United Kingdom,8.58,2010,1,2010-01,0,19
536732,47566,PARTY BUNTING,9,2010-01-04 19:18:00,5.22,12480,United Kingdom,46.98,2010,1,2010-01,0,19
536732,22623,BOX OF VINTAGE JIGSAW BLOCKS,22,2010-01-04 19:18:00,5.02,12480,United Kingdom,110.44,2010,1,2010-01,0,19
536732,22745,POPPY'S PLAYHOUSE BEDROOM,2,2010-01-04 19:18:00,2.16,12480,United Kingdom,4.32,2010,1,2010-01,0,19
538343,85123A,WHITE HANGING HEART T-LIGHT HOLDER,10,2010-01-05 09:50:00,2.48,12587,United Kingdom,24.8,2010,1,2010-01,1,9
536660,M,MANUAL,3,2010-01-05 13:11:00,0.0,12532,United Kingdom,0.0,2010,1,2010-01,1,13
536660,22835,HOT WATER BOTTLE I AM SO POORLY,16,2010-01-05 13:11:00,5.03,12532,United Kingdom,80.48,2010,1,2010-01,1,13
536660,47566,PARTY BUNTING,21,2010-01-05 13:11:00,4.5,12532,United Kingdom,94.5,2010,1,2010-01,1,13
536660,84406B,CREAM CUPID HEARTS COAT HANGER,2,2010-01-05 13:11:00,2.84,12532,United Kingdom,5.68,2010,1,2010-01,1,13
536660,23298,SPOTTY BUNTING,4,2010-01-05 13:11:00,4.63,12532,United Kingdom,18.52,2010,1,2010-01,1,13
536660,22745,POPPY'S PLAYHOUSE BEDROOM,1,2010-01-05 13:11:00,1.9,12532,United Kingdom,1.9,2010,1,2010-01,1,13
536660,22383,LUNCH BAG SUKI DESIGN,1,2010-01-05 13:11:00,1.51,12532,United Kingdom,1.51,2010,1,2010-01,1,13
536660,85099C,JUMBO BAG STRAWBERRY,6,2010-01-05 13:11:00,1.92,12532,United Kingdom,11.52,2010,1,2010-01,1,13
536516,M,MANUAL,1,2010-01-06 12:26:00,0.0,12716,United Kingdom,0.0,2010,1,2010-01,2,12
536516,23298,SPOTTY BUNTING,3,2010-01-06 12:26:00,4.82,12716,United Kingdom,14.46,2010,1,2010-01,2,12
538351,84029E,RED WOOLLY HOTTIE WHITE HEART,1,2010-01-08 08:18:00,3.47,12496,United Kingdom,3.47,2010,1,2010-01,4,8
538351,21212,PACK OF 72 RETROSPOT CAKE CASES,34,2010-01-08 08:18:00,0.57,12496,United Kingdom,19.38,2010,1,2010-01,4,8
537642,22386,JUMBO BAG PINK POLKADOT,2,2010-01-09 12:12:00,1.83,12624,United Kingdom,3.66,2010,1,2010-01,5,12
537642,22745,POPPY'S PLAYHOUSE BEDROOM,4,2010-01-09 12:12:00,2.28,12624,United Kingdom,9.12,2010,1,2010-01,5,12
537642,22748,POPPY'S PLAYHOUSE KITCHEN,8,2010-01-09 12:12:00,2.04,12624,United Kingdom,16.32,2010,1,2010-01,5,12
537642,22633,HAND WARMER UNION JACK,1,2010-01-09 12:12:00,1.67,12624,United Kingdom,1.67,2010,1,2010-01,5,12
537642,22382,LUNCH BAG SPACEBOY DESIGN,10,2010-01-09 12:12:00,1.55,12624,United Kingdom,15.5,2010,1,2010-01,5,12
537642,84879,ASSORTED COLOUR BIRD ORNAMENT,1,2010-01-09 12:12:00,1.6,12624,United Kingdom,1.6,2010,1,2010-01,5,12
537642,DOT,DOTCOM POSTAGE,1,2010-01-09 12:12:00,15.01,12624,United Kingdom,15.01,2010,1,2010-01,5,12
537043,84029E,RED WOOLLY HOTTIE WHITE HEART,1,2010-01-09 12:15:00,3.07,12497,France,3.07,2010,1,2010-01,5,12
537043,M,MANUAL,16,2010-01-09 12:15:00,0.0,12497,France,0.0,2010,1,2010-01,5,12
537552,85123A,WHITE HANGING HEART T-LIGHT HOLDER,1,2010-01-10 13:08:00,2.51,12574,United Kingdom,2.51,2010,1,2010-01,6,13
537552,84029E,RED WOOLLY HOTTIE WHITE HEART,2,2010-01-10 13:08:00,3.55,12574,United Kingdom,7.1,2010,1,2010-01,6,13
538169,22633,HAND WARMER UNION JACK,1,2010-01-10 17:24:00,1.89,12694,United Kingdom,1.89,2010,1,2010-01,6,17
537901,22197,POPCORN HOLDER,44,2010-01-11 09:06:00,0.86,12577,United Kingdom,37.839999999999996,2010,1,2010-01,0,9
536986,22730,ALARM CLOCK BAKELIKE IVORY,1,2010-01-11 09:35:00,3.53,12362,United Kingdom,3.53,2010,1,2010-01,0,9
536986,21777,RECIPE BOX WITH METAL HEART,8,2010-01-11 09:35:00,7.5,12362,United Kingdom,60.0,2010,1,2010-01,0,9
536986,21755,LOVE BUILDING BLOCK WORD,9,2010-01-11 09:35:00,6.2,12362,United Kingdom,55.800000000000004,2010,1,2010-01,0,9
536986,22749,FELTCRAFT PRINCESS CHARLOTTE DOLL,18,2010-01-11 09:35:00,3.94,12362,United Kingdom,70.92,2010,1,2010-01,0,9
536986,22835,HOT WATER BOTTLE I AM SO POORLY,4,2010-01-11 09:35:00,4.61,12362,United Kingdom,18.44,2010,1,2010-01,0,9
536986,23300,GARDENERS KNEELING PAD CUP OF TEA,23,2010-01-11 09:35:00,2.16,12362,United Kingdom,49.68000000000001,2010,1,2010-01,0,9
536986,85123A,WHITE HANGING HEART T-LIGHT HOLDER,1,2010-01-11 09:35:00,2.76,12362,United Kingdom,2.76,2010,1,2010-01,0,9
538247,84029E,RED WOOLLY HOTTIE WHITE HEART,22,2010-01-13 00:38:00,3.6,12787,Cyprus,79.2,2010,1,2010-01,2,0
538247,21754,HOME BUILDING BLOCK WORD,5,2010-01-13 00:38:00,5.64,12787,Cyprus,28.2,2010,1,2010-01,2,0
538247,22633,HAND WARMER UNION JACK,1,2010-01-13 00:38:00,1.67,12787,Cyprus,1.67,2010,1,2010-01,2,0
538247,22727,ALARM CLOCK BAKELIKE RED,6,2010-01-13 00:38:00,3.39,12787,Cyprus,20.34,2010,1,2010-01,2,0
538247,22623,BOX OF VINTAGE JIGSAW BLOCKS,1,2010-01-13 00:38:00,4.68,12787,Cyprus,4.68,2010,1,2010-01,2,0
537976,22749,FELTCRAFT PRINCESS CHARLOTTE DOLL,9,2010-01-13 07:03:00,4.1,12522,United Kingdom,36.9,2010,1,2010-01,2,7
537976,22384,LUNCH BAG PINK POLKADOT,1,2010-01-13 07:03:00,1.52,12522,United Kingdom,1.52,2010,1,2010-01,2,7
537976,20725,LUNCH BAG RED RETROSPOT,2,2010-01-13 07:03:00,1.71,12522,United Kingdom,3.42,2010,1,2010-01,2,7
537976,20727,LUNCH BAG BLACK SKULL,2,2010-01-13 07:03:00,1.59,12522,United Kingdom,3.18,2010,1,2010-01,2,7
537976,22623,BOX OF VINTAGE JIGSAW BLOCKS,5,2010-01-13 07:03:00,4.69,12522,United Kingdom,23.450000000000003,2010,1,2010-01,2,7
537976,23166,MEDIUM CERAMIC TOP STORAGE JAR,4,2010-01-13 07:03:00,1.22,12522,United Kingdom,4.88,2010,1,2010-01,2,7
537976,22382,LUNCH BAG SPACEBOY DESIGN,1,2010-01-13 07:03:00,1.49,12522,United Kingdom,1.49,2010,1,2010-01,2,7
537065,22730,ALARM CLOCK BAKELIKE IVORY,20,2010-01-13 07:32:00,3.65,12524,United Kingdom,73.0,2010,1,2010-01,2,7
537512,21777,RECIPE BOX WITH METAL HEART,1,2010-01-13 14:00:00,8.41,12379,United Kingdom,8.41,2010,1,2010-01,2,14
537512,84406B,CREAM CUPID HEARTS COAT HANGER,4,2010-01-13 14:00:00,2.49,12379,United Kingdom,9.96,2010,1,2010-01,2,14
538097,22197,POPCORN HOLDER,37,2010-01-13 15:15:00,0.77,12437,United Kingdom,28.490000000000002,2010,1,2010-01,2,15
538097,22727,ALARM CLOCK BAKELIKE RED,22,2010-01-13 15:15:00,3.52,12437,United Kingdom,77.44,2010,1,2010-01,2,15
538097,21754,HOME BUILDING BLOCK WORD,1,2010-01-13 15:15:00,5.5,12437,United Kingdom,5.5,2010,1,2010-01,2,15
538097,22745,POPPY'S PLAYHOUSE BEDROOM,3,2010-01-13 15:15:00,1.97,12437,United Kingdom,5.91,2010,1,2010-01,2,15
536862,23084,RABBIT NIGHT LIGHT,14,2010-01-14 06:53:00,1.93,12776,United Kingdom,27.02,2010,1,2010-01,3,6
536862,22383,LUNCH BAG SUKI DESIGN,4,2010-01-14 06:53:00,1.56,12776,United Kingdom,6.24,2010,1,2010-01,3,6
536862,20727,LUNCH BAG BLACK SKULL,14,2010-01-14 06:53:00,1.75,12776,United Kingdom,24.5,2010,1,2010-01,3,6
536862,84029E,RED WOOLLY HOTTIE WHITE HEART,14,2010-01-14 06:53:00,3.51,12776,United Kingdom,49.14,2010,1,2010-01,3,6
536862,22469,HEART OF WICKER SMALL,1,2010-01-14 06:53:00,1.74,12776,United Kingdom,1.74,2010,1,2010-01,3,6
536862,71053,WHITE METAL LANTERN,11,2010-01-14 06:53:00,3.18,12776,United Kingdom,34.980000000000004,2010,1,2010-01,3,6
536862,22720,SET OF 3 CAKE TINS PANTRY DESIGN,23,2010-01-14 06:53:00,4.61,12776,United Kingdom,106.03,2010,1,2010-01,3,6
536862,48187,DOORMAT NEW ENGLAND,1,2010-01-14 06:53:00,7.49,12776,United Kingdom,7.49,2010,1,2010-01,3,6
538217,85099C,JUMBO BAG STRAWBERRY,3,2010-01-14 07:40:00,1.78,12468,United Kingdom,5.34,2010,1,2010-01,3,7
537508,22623,BOX OF VINTAGE JIGSAW BLOCKS,3,2010-01-14 12:31:00,4.82,12654,Finland,14.46,2010,1,2010-01,3,12
537508,22835,HOT WATER BOTTLE I AM SO POORLY,2,2010-01-14 12:31:00,4.61,12654,Finland,9.22,2010,1,2010-01,3,12
537508,23298,SPOTTY BUNTING,1,2010-01-14 12:31:00,4.59,12654,Finland,4.59,2010,1,2010-01,3,12
537508,21777,RECIPE BOX WITH METAL HEART,1,2010-01-14 12:31:00,7.54,12654,Finland,7.54,2010,1,2010-01,3,12
537508,85099C,JUMBO BAG STRAWBERRY,2,2010-01-14 12:31:00,1.93,12654,Finland,3.86,2010,1,2010-01,3,12
537508,22726,ALARM CLOCK BAKELIKE GREEN,5,2010-01-14 12:31:00,4.12,12654,Finland,20.6,2010,1,2010-01,3,12
537508,22310,PANTRY MAGNETIC SHOPPING LIST,2,2010-01-14 12:31:00,2.13,12654,Finland,4.26,2010,1,2010-01,3,12
536894,22633,HAND WARMER UNION JACK,2,2010-01-16 09:18:00,1.73,12773,Germany,3.46,2010,1,2010-01,5,9
536894,22752,SET 7 BABUSHKA NESTING BOXES,1,2010-01-16 09:18:00,7.21,12773,Germany,7.21,2010,1,2010-01,5,9
536894,47566,PARTY BUNTING,3,2010-01-16 09:18:00,5.42,12773,Germany,16.259999999999998,2010,1,2010-01,5,9
538089,22730,ALARM CLOCK BAKELIKE IVORY,4,2010-01-16 10:38:00,3.97,12356,Cyprus,15.88,2010,1,2010-01,5,10
537881,22752,SET 7 BABUSHKA NESTING BOXES,14,2010-01-17 09:18:00,7.8,12586,United Kingdom,109.2,2010,1,2010-01,6,9
537881,23300,GARDENERS KNEELING PAD CUP OF TEA,11,2010-01-17 09:18:00,2.15,12586,United Kingdom,23.65,2010,1,2010-01,6,9
537881,22386,JUMBO BAG PINK POLKADOT,11,2010-01-17 09:18:00,2.05,12586,United Kingdom,22.549999999999997,2010,1,2010-01,6,9
537881,84997D,BLUE 3 PIECE POLKADOT CUTLERY SET,2,2010-01-17 09:18:00,4.32,12586,United Kingdom,8.64,2010,1,2010-01,6,9
537881,21777,RECIPE BOX WITH METAL HEART,5,2010-01-17 09:18:00,7.65,12586,United Kingdom,38.25,2010,1,2010-01,6,9
537881,84879,ASSORTED COLOUR BIRD ORNAMENT,9,2010-01-17 09:18:00,1.59,12586,United Kingdom,14.31,2010,1,2010-01,6,9
537881,22632,HAND WARMER RED POLKA DOT,11,2010-01-17 09:18:00,1.96,12586,United Kingdom,21.56,2010,1,2010-01,6,9
538200,84879,ASSORTED COLOUR BIRD ORNAMENT,1,2010-01-17 14:06:00,1.68,12500,United Kingdom,1.68,2010,1,2010-01,6,14
538200,22727,ALARM CLOCK BAKELIKE RED,4,2010-01-17 14:06:00,3.59,12500,United Kingdom,14.36,2010,1,2010-01,6,14
538200,23300,GARDENERS KNEELING PAD CUP OF TEA,2,2010-01-17 14:06:00,2.22,12500,United Kingdom,4.44,2010,1,2010-01,6,14
538200,48187,DOORMAT NEW ENGLAND,3,2010-01-17 14:06:00,7.42,12500,United Kingdom,22.259999999999998,2010,1,2010-01,6,14
538200,85123A,WHITE HANGING HEART T-LIGHT HOLDER,18,2010-01-17 14:06:00,2.57,12500,United Kingdom,46.26,2010,1,2010-01,6,14
538200,22720,SET OF 3 CAKE TINS PANTRY DESIGN,4,2010-01-17 14:06:00,5.13,12500,United Kingdom,20.52,2010,1,2010-01,6,14
537110,22423,REGENCY CAKESTAND 3 TIER,1,2010-01-17 19:55:00,11.96,12735,United Kingdom,11.96,2010,1,2010-01,6,19
537110,DOT,DOTCOM POSTAGE,3,2010-01-17 19:55:00,15.38,12735,United Kingdom,46.14,2010,1,2010-01,6,19
537740,21730,GLASS STAR FROSTED T-LIGHT HOLDER,1,2010-01-19 15:30:00,4.59,12644,United Kingdom,4.59,2010,1,2010-01,1,15
537740,21777,RECIPE BOX WITH METAL HEART,1,2010-01-19 15:30:00,7.75,12644,United Kingdom,7.75,2010,1,2010-01,1,15
537740,84029E,RED WOOLLY HOTTIE WHITE HEART,5,2010-01-19 15:30:00,3.21,12644,United Kingdom,16.05,2010,1,2010-01,1,15
537740,22622,BOX OF VINTAGE ALPHABET BLOCKS,2,2010-01-19 15:30:00,5.0,12644,United Kingdom,10.0,2010,1,2010-01,1,15
537740,22633,HAND WARMER UNION JACK,9,2010-01-19 15:30:00,1.98,12644,United Kingdom,17.82,2010,1,2010-01,1,15
537740,85123A,WHITE HANGING HEART T-LIGHT HOLDER,3,2010-01-19 15:30:00,2.62,12644,United Kingdom,7.86,2010,1,2010-01,1,15
537740,23167,SMALL CERAMIC TOP STORAGE JAR,9,2010-01-19 15:30:00,0.9,12644,United Kingdom,8.1,2010,1,2010-01,1,15
537740,84406B,CREAM CUPID HEARTS COAT HANGER,6,2010-01-19 15:30:00,2.65,12644,United Kingdom,15.899999999999999,2010,1,2010-01,1,15
537740,POST,POSTAGE,9,2010-01-19 15:30:00,19.5,12644,United Kingdom,175.5,2010,1,2010-01,1,15
536831,84879,ASSORTED COLOUR BIRD ORNAMENT,1,2010-01-19 15:47:00,1.59,12612,United Kingdom,1.59,2010,1,2010-01,1,15
536831,71053,WHITE METAL LANTERN,2,2010-01-19 15:47:00,3.45,12612,United Kingdom,6.9,2010,1,2010-01,1,15
536831,22622,BOX OF VINTAGE ALPHABET BLOCKS,1,2010-01-19 15:47:00,4.57,12612,United Kingdom,4.57,2010,1,2010-01,1,15
537569,23084,RABBIT NIGHT LIGHT,1,2010-01-20 12:18:00,1.96,12417,Spain,1.96,2010,1,2010-01,2,12
537569,84029E,RED WOOLLY HOTTIE WHITE HEART,2,2010-01-20 12:18:00,3.51,12417,Spain,7.02,2010,1,2010-01,2,12
537569,21754,HOME BUILDING BLOCK WORD,3,2010-01-20 12:18:00,5.81,12417,Spain,17.43,2010,1,2010-01,2,12
537569,22622,BOX OF VINTAGE ALPHABET BLOCKS,1,2010-01-20 12:18:00,4.7,12417,Spain,4.7,2010,1,2010-01,2,12
537569,22384,LUNCH BAG PINK POLKADOT,2,2010-01-20 12:18:00,1.51,12417,Spain,3.02,2010,1,2010-01,2,12
537569,22382,LUNCH BAG SPACEBOY DESIGN,1,2010-01-20 12:18:00,1.69,12417,Spain,1.69,2010,1,2010-01,2,12
537569,22752,SET 7 BABUSHKA NESTING BOXES,1,2010-01-20 12:18:00,8.31,12417,Spain,8.31,2010,1,2010-01,2,12
537569,22632,HAND WARMER RED POLKA DOT,4,2010-01-20 12:18:00,1.68,12417,Spain,6.72,2010,1,2010-01,2,12
537452,DOT,DOTCOM POSTAGE,1,2010-01-20 16:14:00,15.48,12845,United Kingdom,15.48,2010,1,2010-01,2,16
537007,20725,LUNCH BAG RED RETROSPOT,5,2010-01-21 10:37:00,1.79,12528,United Kingdom,8.95,2010,1,2010-01,3,10
537440,22423,REGENCY CAKESTAND 3 TIER,4,2010-01-22 07:05:00,13.89,12821,United Kingdom,55.56,2010,1,2010-01,4,7
537440,22726,ALARM CLOCK BAKELIKE GREEN,9,2010-01-22 07:05:00,3.92,12821,United Kingdom,35.28,2010,1,2010-01,4,7
537440,22383,LUNCH BAG SUKI DESIGN,3,2010-01-22 07:05:00,1.79,12821,United Kingdom,5.37,2010,1,2010-01,4,7
537440,DOT,DOTCOM POSTAGE,1,2010-01-22 07:05:00,15.15,12821,United Kingdom,15.15,2010,1,2010-01,4,7
537440,85099C,JUMBO BAG STRAWBERRY,2,2010-01-22 07:05:00,1.99,12821,United Kingdom,3.98,2010,1,2010-01,4,7
537290,85123A,WHITE HANGING HEART T-LIGHT HOLDER,5,2010-01-22 09:51:00,2.42,12407,United Kingdom,12.1,2010,1,2010-01,4,9
537290,47566,PARTY BUNTING,3,2010-01-22 09:51:00,4.96,12407,United Kingdom,14.879999999999999,2010,1,2010-01,4,9
537290,21212,PACK OF 72 RETROSPOT CAKE CASES,29,2010-01-22 09:51:00,0.59,12407,United Kingdom,17.11,2010,1,2010-01,4,9
537290,22726,ALARM CLOCK BAKELIKE GREEN,17,2010-01-22 09:51:00,3.76,12407,United Kingdom,63.919999999999995,2010,1,2010-01,4,9
537290,22727,ALARM CLOCK BAKELIKE RED,8,2010-01-22 09:51:00,3.46,12407,United Kingdom,27.68,2010,1,2010-01,4,9
537290,48187,DOORMAT NEW ENGLAND,9,2010-01-22 09:51:00,7.5,12407,United Kingdom,67.5,2010,1,2010-01,4,9
537643,22835,HOT WATER BOTTLE I AM SO POORLY,16,2010-01-22 11:03:00,4.5,12792,United Kingdom,72.0,2010,1,2010-01,4,11
537643,22198,SMALL HEART FLOWERS HOOK,4,2010-01-22 11:03:00,0.88,12792,United Kingdom,3.52,2010,1,2010-01,4,11
536652,21777,RECIPE BOX WITH METAL HEART,5,2010-01-22 11:58:00,8.44,12588,United Kingdom,42.199999999999996,2010,1,2010-01,4,11
536652,21212,PACK OF 72 RETROSPOT CAKE CASES,7,2010-01-22 11:58:00,0.51,12588,United Kingdom,3.5700000000000003,2010,1,2010-01,4,11
537513,23300,GARDENERS KNEELING PAD CUP OF TEA,12,2010-01-22 12:21:00,2.15,12775,United Kingdom,25.799999999999997,2010,1,2010-01,4,12
537513,84406B,CREAM CUPID HEARTS COAT HANGER,1,2010-01-22 12:21:00,2.81,12775,United Kingdom,2.81,2010,1,2010-01,4,12
537513,21730,GLASS STAR FROSTED T-LIGHT HOLDER,6,2010-01-22 12:21:00,4.45,12775,United Kingdom,26.700000000000003,2010,1,2010-01,4,12
536710,22835,HOT WATER BOTTLE I AM SO POORLY,18,2010-01-23 08:50:00,5.29,12576,United Kingdom,95.22,2010,1,2010-01,5,8
537406,21777,RECIPE BOX WITH METAL HEART,8,2010-01-23 10:38:00,8.16,12594,United Kingdom,65.28,2010,1,2010-01,5,10
537406,22198,SMALL HEART FLOWERS HOOK,1,2010-01-23 10:38:00,0.9,12594,United Kingdom,0.9,2010,1,2010-01,5,10
537090,71053,WHITE METAL LANTERN,8,2010-01-24 10:18:00,3.54,12572,United Kingdom,28.32,2010,1,2010-01,6,10
537090,22423,REGENCY CAKESTAND 3 TIER,9,2010-01-24 10:18:00,11.48,12572,United Kingdom,103.32000000000001,2010,1,2010-01,6,10
537090,22745,POPPY'S PLAYHOUSE BEDROOM,17,2010-01-24 10:18:00,1.9,12572,United Kingdom,32.3,2010,1,2010-01,6,10
537090,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,21,2010-01-24 10:18:00,3.6,12572,United Kingdom,75.60000000000001,2010,1,2010-01,6,10
538071,84997B,RED 3 PIECE RETROSPOT CUTLERY SET,1,2010-01-24 12:30:00,4.32,12796,United Kingdom,4.32,2010,1,2010-01,6,12
537157,21212,PACK OF 72 RETROSPOT CAKE CASES,1,2010-01-25 12:00:00,0.54,12735,United Kingdom,0.54,2010,1,2010-01,0,12
537157,22197,POPCORN HOLDER,34,2010-01-25 12:00:00,0.91,12735,United Kingdom,30.94,2010,1,2010-01,0,12
537157,21755,LOVE BUILDING BLOCK WORD,2,2010-01-25 12:00:00,6.06,12735,United Kingdom,12.12,2010,1,2010-01,0,12
537157,22728,ALARM CLOCK BAKELIKE PINK,9,2010-01-25 12:00:00,3.56,12735,United Kingdom,32.04,2010,1,2010-01,0,12
537157,22469,HEART OF WICKER SMALL,1,2010-01-25 12:00:00,1.56,12735,United Kingdom,1.56,2010,1,2010-01,0,12
537073,22423,REGENCY CAKESTAND 3 TIER,19,2010-01-25 13:50:00,13.8,12551,Spain,262.2,2010,1,2010-01,0,13
537073,22727,ALARM CLOCK BAKELIKE RED,1,2010-01-25 13:50:00,3.63,12551,Spain,3.63,2010,1,2010-01,0,13
537073,21212,PACK OF 72 RETROSPOT CAKE CASES,6,2010-01-25 13:50:00,0.53,12551,Spain,3.18,2010,1,2010-01,0,13
537073,47566,PARTY BUNTING,4,2010-01-25 13:50:00,4.62,12551,Spain,18.48,2010,1,2010-01,0,13
537073,22622,BOX OF VINTAGE ALPHABET BLOCKS,23,2010-01-25 13:50:00,4.56,12551,Spain,104.88,2010,1,2010-01,0,13
537073,21755,LOVE BUILDING BLOCK WORD,5,2010-01-25 13:50:00,5.66,12551,Spain,28.3,2010,1,2010-01,0,13
538348,22727,ALARM CLOCK BAKELIKE RED,17,2010-01-27 11:06:00,3.97,12788,United Kingdom,67.49000000000001,2010,1,2010-01,2,11
538348,21755,LOVE BUILDING BLOCK WORD,1,2010-01-27 11:06:00,6.23,12788,United Kingdom,6.23,2010,1,2010-01,2,11
538348,21730,GLASS STAR FROSTED T-LIGHT HOLDER,4,2010-01-27 11:06:00,4.46,12788,United Kingdom,17.84,2010,1,2010-01,2,11
538348,22384,LUNCH BAG PINK POLKADOT,4,2010-01-27 11:06:00,1.53,12788,United Kingdom,6.12,2010,1,2010-01,2,11
537235,22382,LUNCH BAG SPACEBOY DESIGN,1,2010-01-28 07:47:00,1.5,12702,United Kingdom,1.5,2010,1,2010-01,3,7
537235,22386,JUMBO BAG PINK POLKADOT,19,2010-01-28 07:47:00,1.82,12702,United Kingdom,34.58,2010,1,2010-01,3,7
537235,84997B,RED 3 PIECE RETROSPOT CUTLERY SET,12,2010-01-28 07:47:00,3.76,12702,United Kingdom,45.12,2010,1,2010-01,3,7
537235,84406B,CREAM CUPID HEARTS COAT HANGER,1,2010-01-28 07:47:00,2.95,12702,United Kingdom,2.95,2010,1,2010-01,3,7
537235,84029E,RED WOOLLY HOTTIE WHITE HEART,4,2010-01-28 07:47:00,3.23,12702,United Kingdom,12.92,2010,1,2010-01,3,7
537235,85099C,JUMBO BAG STRAWBERRY,2,2010-01-28 07:47:00,1.99,12702,United Kingdom,3.98,2010,1,2010-01,3,7
537235,21212,PACK OF 72 RETROSPOT CAKE CASES,18,2010-01-28 07:47:00,0.58,12702,United Kingdom,10.44,2010,1,2010-01,3,7
537235,DOT,DOTCOM POSTAGE,4,2010-01-28 07:47:00,14.72,12702,United Kingdom,58.88,2010,1,2010-01,3,7
537235,22622,BOX OF VINTAGE ALPHABET BLOCKS,18,2010-01-28 07:47:00,4.82,12702,United Kingdom,86.76,2010,1,2010-01,3,7
537235,85099B,JUMBO BAG RED RETROSPOT,2,2010-01-28 07:47:00,1.95,12702,United Kingdom,3.9,2010,1,2010-01,3,7
537235,22835,HOT WATER BOTTLE I AM SO POORLY,1,2010-01-28 07:47:00,4.75,12702,United Kingdom,4.75,2010,1,2010-01,3,7
538023,DOT,DOTCOM POSTAGE,6,2010-01-29 07:21:00,14.69,12787,United Kingdom,88.14,2010,1,2010-01,4,7
538023,22198,SMALL HEART FLOWERS HOOK,6,2010-01-29 07:21:00,0.92,12787,United Kingdom,5.5200000000000005,2010,1,2010-01,4,7
